City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,kudahuvadhoo,2.6708,72.8944,27.08,67,46,6.61,MV,1674293971
286,lagoa,39.05,-27.9833,15.28,83,90,9.63,PT,1674293971
287,cabo san lucas,22.8909,-109.9124,18.06,76,0,1.45,MX,1674293814
288,sorland,67.667,12.6934,3.92,71,100,13.27,NO,1674293973
289,klaksvik,62.2266,-6.589,8.51,94,100,16.42,FO,1674293975
290,saint-augustin,51.226,-58.6502,-12.05,73,100,4.05,CA,1674293976
291,san cristobal,7.7669,-72.225,16.03,77,34,0.86,VE,1674293977
292,aljezur,37.3191,-8.8033,15.09,81,63,5.9,PT,1674293978
293,husavik,66.0449,-17.3389,3.65,86,96,1.69,IS,1674293979
294,ayacucho,-13.1583,-74.2239,11.13,84,100,0.66,PE,1674293979
295,cam ranh,11.9214,109.1591,25.98,69,75,5.66,VN,1674293980
296,faya,18.3851,42.4509,19.29,31,0,2.78,SA,1674293981
297,lata,40.1629,-8.3327,13.37,86,100,2.02,PT,1674293982
298,esperance,-33.8667,121.9,21.52,58,2,10.33,AU,1674293984
299,brigantine,39.4101,-74.3646,3.33,78,0,3.09,US,1674293985
300,carutapera,-1.195,-46.02,23.35,95,100,2.19,BR,1674293987
301,sawtell,-30.3833,153.1,23.01,60,100,5.66,AU,1674293987
302,cherskiy,68.75,161.3,-38.45,100,100,3.62,RU,1674293988
303,harrison,30.4091,-89.0436,13.04,60,100,4.12,US,1674293989
304,albanel,48.8832,-72.4487,-13.92,85,93,3.09,CA,1674293990
305,kulhudhuffushi,6.6221,73.07,26.21,67,48,4.83,MV,1674293991
306,nara,34.6851,135.8049,5.65,41,63,2.27,JP,1674293992
307,van,38.4924,43.3831,3.64,60,20,2.57,TR,1674293893
308,atar,20.5169,-13.0499,15.03,47,0,2.06,MR,1674293993
309,gamba,-2.65,10.0,28.37,70,100,2.36,GA,1674293994
310,aykhal,66.0,111.5,-36.75,99,69,3.7,RU,1674293995
311,tarrafal,15.2833,-23.7667,21.9,66,17,8.45,CV,1674293996
312,palizada,18.25,-92.0833,21.33,91,4,3.99,MX,1674293997
313,poum,-20.2333,164.0167,26.99,87,98,11.54,NC,1674293997
314,medicine hat,50.0501,-110.6683,1.55,69,100,4.63,CA,1674293718
315,amahai,-3.3333,128.9167,26.76,82,98,1.24,ID,1674293999
316,boca do acre,-8.7522,-67.3978,19.74,100,96,0.85,BR,1674294000
317,zhigalovo,54.8097,105.1578,-36.32,99,95,0.3,RU,1674294001
318,kazachinskoye,57.6953,93.2761,-36.73,97,19,0.14,RU,1674294002
319,ouargaye,11.5033,0.0572,30.32,13,59,4.6,BF,1674294002
320,pacasmayo,-7.4006,-79.5714,20.71,78,100,2.74,PE,1674294003
321,puerto del rosario,28.5004,-13.8627,18.86,68,40,8.75,ES,1674294004
322,coihueco,-36.6167,-71.8333,11.74,62,2,1.15,CL,1674293815
323,rio grande,-32.035,-52.0986,23.93,81,93,3.89,BR,1674294005
324,hami,42.8,93.45,-5.39,36,100,2.82,CN,1674294006
325,verkhniy tagil,57.3733,59.9556,-5.59,68,100,5.5,RU,1674294007
326,sembakung,3.8167,117.25,24.94,95,80,1.01,ID,1674294007
327,geraldton,-28.7667,114.6,24.23,73,100,5.66,AU,1674294008
328,bulawayo,-20.15,28.5833,27.99,34,98,3.96,ZW,1674294009
329,potosi,-19.5836,-65.7531,7.06,62,83,1.56,BO,1674294010
330,sistranda,63.7256,8.834,0.98,68,97,4.39,NO,1674294011
331,barcelos,41.5388,-8.6151,13.29,89,53,3.02,PT,1674293969
332,wucheng,29.6008,118.175,10.04,75,98,1.28,CN,1674294013
333,mago,53.2514,140.1822,-22.71,94,100,4.93,RU,1674294013
334,izvestkovyy,48.9833,131.55,-33.6,95,74,1.61,RU,1674294014
335,sao joao da barra,-21.6403,-41.0511,23.05,90,100,4.25,BR,1674294015
336,faanui,-16.4833,-151.75,27.19,71,55,5.37,PF,1674294016
337,oytal,42.9057,73.2697,-2.45,82,5,1.24,KZ,1674294016
338,kisangani,0.5167,25.2,27.08,66,99,1.07,CD,1674294017
339,jalingo,8.8833,11.3667,34.44,13,34,2.45,NG,1674294018
340,innisfail,-17.5333,146.0333,24.5,80,100,2.62,AU,1674294018
341,santa cruz,-17.8,-63.1667,22.7,88,75,6.17,BO,1674294019
342,eureka,40.8021,-124.1637,4.34,99,19,2.14,US,1674293879
343,carupano,10.6678,-63.2585,21.72,89,57,2.48,VE,1674294020
344,belaya gora,68.5333,146.4167,-39.07,99,99,1.37,RU,1674294022
